country,ID,TotalCases,TotalDeaths,TotalCases1M,TotalDeaths1M,TotalTests,TotalTests1M,Population,Continent,1CaseEvery,1DeathEvery,1TestEvery,AccessElectricity,GDP,GDPperCap,LifeExpect,DrsPer1k,NewInfecHIV,FertilityRate,UrbanPopulation,UrbanPopulationPerc,Latitude,Longitude
Pakistan,25,327895.0,6736.0,1475.0,30.0,4264053.0,19187.0,222234915.0,Asia,678.0,32992.0,52.0,71.0915467008027,314567541558.339,1482.30566684338,67.114,0.9801,20000.0,3.51,77810763.0,35.012843503911164,30.3308401,71.247499
Israel,26,309946.0,2397.0,33699.0,261.0,4401559.0,478556.0,9197590.0,Asia,30.0,3837.0,2.0,100.0,370587977153.583,41719.7254417057,82.8024390243903,4.6249,1050.0,3.09,8209306.0,89.25496787745486,31.5313113,34.8667654
Belgium,27,305409.0,10737.0,26315.0,925.0,4525669.0,389951.0,11605739.0,Europe,38.0,1081.0,3.0,100.0,542685915417.411,47491.3232594693,81.5951219512195,3.4075,500.0,1.62,11198627.0,96.49214927201103,50.6402809,4.6667145
Netherlands,28,291254.0,7046.0,16986.0,411.0,2901903.0,169237.0,17147019.0,Europe,59.0,2434.0,6.0,100.0,914104847814.117,53048.0962104394,81.8121951219512,3.4075,500.0,1.59,15765213.0,91.94142142141442,52.5001698,5.7480821
Poland,30,253688.0,4438.0,6705.0,117.0,4330602.0,114465.0,37833276.0,Europe,149.0,8525.0,9.0,100.0,587114101392.696,15460.6442805468,77.6024390243903,3.4075,500.0,1.46,22806875.0,60.28258034012175,52.215933,19.134422
Canada,31,216104.0,9946.0,5710.0,263.0,9603477.0,253743.0,37847275.0,North America,175.0,3805.0,4.0,100.0,1716262621082.22,46313.1713712961,81.9487804878049,1.9357,1050.0,1.4988,30169097.0,79.71273229050176,61.0666922,-107.9917071
Romania,32,209648.0,6391.0,10921.0,333.0,3055989.0,159198.0,19196126.0,Europe,92.0,3004.0,6.0,100.0,241626953521.413,12408.5964891293,75.3585365853659,3.4075,1000.0,1.76,10514785.0,54.77555731817972,45.9852129,24.6859225
Morocco,33,197481.0,3301.0,5330.0,89.0,3197617.0,86308.0,37048960.0,Africa,188.0,11224.0,12.0,100.0,117921394402.361,3222.20063433213,76.453,0.1565,1000.0,2.415,22501278.0,60.73389914318783,31.1728205,-7.3362482
Ecuador,34,161635.0,12553.0,9118.0,708.0,521891.0,29440.0,17727417.0,South America,110.0,1412.0,34.0,100.0,107562008000.0,6295.93539868079,76.8,1.75935,2300.0,2.427,10903407.0,61.50589789815403,-1.3397668,-79.3666965
Nepal,35,158089.0,847.0,5395.0,29.0,1393173.0,47547.0,29301181.0,Asia,185.0,34594.0,21.0,93.92,29173513475.5597,1038.65164702443,70.478,0.7486,1000.0,1.917,5544546.0,18.922602471210972,28.1083929,84.0917139
Bolivia,36,140779.0,8627.0,12009.0,736.0,326973.0,27891.0,11723269.0,South America,83.0,1359.0,36.0,95.5853652954102,40287647901.5919,3548.59015254032,71.239,1.75935,1000.0,2.73,7881919.0,67.23311560964778,-17.0568696,-64.9912286
Qatar,37,131170.0,230.0,46716.0,82.0,934283.0,332745.0,2807805.0,Asia,21.0,12208.0,3.0,100.0,191362087912.088,68793.7844372614,80.1,2.4852,1050.0,1.866,2757615.0,98.21248270446131,25.3336984,51.2295295
